Data,1,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,
1.2GHz,24.8693,28.4102,32.0073,33.6284,35.5564,36.7734,38.2916,39.4995,41.2304,42.5977,43.5511,45.0893,,,,,,,,,,,,,,,,,,
1.5GHz,23.1222,28.6012,33.2563,35.5585,37.665,39.4842,40.9599,42.7278,44.1785,45.7247,47.469,48.798,50.3882,51.5679,53.2252,53.9893,54.0061,,,,,,,,,,,,,
1.7GHz,21.0161,29.2386,34.6738,38.1031,39.7955,41.957,44.1369,46.0786,47.6387,49.4601,51.1152,52.8232,54.1968,55.8734,57.5309,58.802,60.3886,,,,,,,,,,,,,
1.8GHz,21.4079,29.4602,35.2372,38.6235,41.0236,43.0268,45.0032,46.8688,49.2195,50.6481,52.2891,53.9001,55.6102,57.4157,58.9327,60.6007,61.8249,63.7119,64.961,66.1944,67.2561,,,,,,,,,
1.9GHz,22.4379,29.9044,35.2502,39.1549,42.1867,44.0756,45.8619,47.9144,49.7415,51.6116,53.0814,55.0109,56.5838,58.5662,60.2673,62.2002,63.5605,65.1886,66.6633,68.1073,,,,,,,,,,
2.0GHz,19.8868,30.0143,36.2059,40.2726,43.0515,44.7009,47.1528,48.9879,50.9699,52.834,54.5354,56.3599,58.3353,60.0596,61.9738,63.5334,64.7844,66.506,68.3457,70.117,71.0569,72.3284,73.3703,,,,,,,
2.1GHz,21.5354,36.0738,44.552,49.2765,51.9965,54.597,56.865,58.6705,60.8018,62.6055,64.8456,66.8099,68.3646,70.4242,72.3198,74.2039,75.7969,77.545,79.578,80.665,,83.3915,84.8922,,,,,,,
